epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,178.552,1.58982,1.88961,1.37132,0.70835,0.77815,0.83688,0.44929,1.69463,1.66179,1.66647,0.000540037,0.000540037,0.000540037
43,182.738,1.56124,1.65597,1.32555,0.70835,0.77815,0.83688,0.44929,1.69463,1.66179,1.66647,0.000531038,0.000531038,0.000531038
44,187.039,1.42086,1.59528,1.3183,0.82107,0.76702,0.85606,0.4611,1.71606,1.67662,1.63633,0.000522039,0.000522039,0.000522039
45,191.199,1.52886,1.756,1.32396,0.82107,0.76702,0.85606,0.4611,1.71606,1.67662,1.63633,0.00051304,0.00051304,0.00051304
46,195.336,1.70416,1.78785,1.29119,0.73097,0.75718,0.86046,0.48274,1.65219,1.76312,1.51577,0.00050404,0.00050404,0.00050404
47,199.483,1.59266,1.74038,1.34222,0.73097,0.75718,0.86046,0.48274,1.65219,1.76312,1.51577,0.000495041,0.000495041,0.000495041
48,203.584,1.44438,1.6241,1.34775,0.66789,0.76285,0.81945,0.46099,1.65467,1.80951,1.47554,0.000486042,0.000486042,0.000486042
49,207.731,1.4763,1.59736,1.28486,0.66789,0.76285,0.81945,0.46099,1.65467,1.80951,1.47554,0.000477043,0.000477043,0.000477043
50,211.904,1.60981,1.72397,1.38873,0.66789,0.76285,0.81945,0.46099,1.65467,1.80951,1.47554,0.000468044,0.000468044,0.000468044
51,216.228,1.50368,1.65173,1.30894,0.78173,0.8071,0.85718,0.52445,1.6439,1.67163,1.47538,0.000459045,0.000459045,0.000459045
52,220.371,1.49107,1.54239,1.31302,0.78173,0.8071,0.85718,0.52445,1.6439,1.67163,1.47538,0.000450046,0.000450046,0.000450046
53,224.498,1.48506,1.53111,1.28676,0.80708,0.77514,0.86332,0.51409,1.61363,1.51315,1.46571,0.000441047,0.000441047,0.000441047
54,228.855,1.34337,1.58153,1.34387,0.80708,0.77514,0.86332,0.51409,1.61363,1.51315,1.46571,0.000432048,0.000432048,0.000432048
55,233.106,1.49289,1.67285,1.36721,0.8076,0.77164,0.89092,0.51272,1.59271,1.44885,1.45346,0.000423049,0.000423049,0.000423049
56,237.545,1.45058,1.44577,1.25376,0.8076,0.77164,0.89092,0.51272,1.59271,1.44885,1.45346,0.000414049,0.000414049,0.000414049
57,241.798,1.49311,1.53003,1.27666,0.8076,0.77164,0.89092,0.51272,1.59271,1.44885,1.45346,0.00040505,0.00040505,0.00040505
58,246.158,1.35989,1.37257,1.2112,0.86132,0.74282,0.89827,0.52423,1.56839,1.40112,1.445,0.000396051,0.000396051,0.000396051
59,250.353,1.43727,1.48312,1.28085,0.86132,0.74282,0.89827,0.52423,1.56839,1.40112,1.445,0.000387052,0.000387052,0.000387052
60,254.61,1.45185,1.41094,1.2366,0.90857,0.75396,0.89994,0.54914,1.51877,1.40622,1.4225,0.000378053,0.000378053,0.000378053
61,258.797,1.44004,1.59549,1.27218,0.90857,0.75396,0.89994,0.54914,1.51877,1.40622,1.4225,0.000369054,0.000369054,0.000369054
